Indicator,IndicatorName,Region,RegionName,Unit,Date,Value
102,"Final Consumption of coking coal, 1000 tonnes",10203,Ethiopia,thousand tonnes,2006,11.00
102,"Final Consumption of coking coal, 1000 tonnes",10203,Ethiopia,thousand tonnes,2007,6.00
102,"Final Consumption of coking coal, 1000 tonnes",10203,Ethiopia,thousand tonnes,2008,15.00
102,"Final Consumption of coking coal, 1000 tonnes",10203,Ethiopia,thousand tonnes,2009,25.00
102,"Final Consumption of coking coal, 1000 tonnes",10203,Ethiopia,thousand tonnes,2010,50.00
102,"Final Consumption of coking coal, 1000 tonnes",10203,Ethiopia,thousand tonnes,2011,170.00
102,"Final Consumption of coking coal, 1000 tonnes",10204,Kenya,thousand tonnes,2000,66.00
102,"Final Consumption of coking coal, 1000 tonnes",10204,Kenya,thousand tonnes,2001,66.00
102,"Final Consumption of coking coal, 1000 tonnes",10204,Kenya,thousand tonnes,2002,99.00
102,"Final Consumption of coking coal, 1000 tonnes",10204,Kenya,thousand tonnes,2003,92.00
102,"Final Consumption of coking coal, 1000 tonnes",10204,Kenya,thousand tonnes,2004,108.00
102,"Final Consumption of coking coal, 1000 tonnes",10204,Kenya,thousand tonnes,2005,108.00
102,"Final Consumption of coking coal, 1000 tonnes",10204,Kenya,thousand tonnes,2007,110.00
102,"Final Consumption of coking coal, 1000 tonnes",10204,Kenya,thousand tonnes,2008,109.00
102,"Final Consumption of coking coal, 1000 tonnes",10204,Kenya,thousand tonnes,2009,154.00
102,"Final Consumption of coking coal, 1000 tonnes",10204,Kenya,thousand tonnes,2010,268.00
102,"Final Consumption of coking coal, 1000 tonnes",10204,Kenya,thousand tonnes,2011,383.00
102,"Final Consumption of coking coal, 1000 tonnes",10208,Tanzania,thousand tonnes,2000,48.00
102,"Final Consumption of coking coal, 1000 tonnes",10208,Tanzania,thousand tonnes,2001,36.00
102,"Final Consumption of coking coal, 1000 tonnes",10208,Tanzania,thousand tonnes,2002,34.00
102,"Final Consumption of coking coal, 1000 tonnes",10208,Tanzania,thousand tonnes,2003,21.00
102,"Final Consumption of coking coal, 1000 tonnes",10208,Tanzania,thousand tonnes,2004,25.00
102,"Final Consumption of coking coal, 1000 tonnes",10208,Tanzania,thousand tonnes,2005,12.00
102,"Final Consumption of coking coal, 1000 tonnes",10208,Tanzania,thousand tonnes,2007,33.00
102,"Final Consumption of coking coal, 1000 tonnes",10208,Tanzania,thousand tonnes,2008,35.00
102,"Final Consumption of coking coal, 1000 tonnes",10208,Tanzania,thousand tonnes,2011,3.00
102,"Final Consumption of coking coal, 1000 tonnes",10301,Algeria,thousand tonnes,2000,856.00
102,"Final Consumption of coking coal, 1000 tonnes",10301,Algeria,thousand tonnes,2001,911.00
102,"Final Consumption of coking coal, 1000 tonnes",10301,Algeria,thousand tonnes,2002,1130.00
102,"Final Consumption of coking coal, 1000 tonnes",10301,Algeria,thousand tonnes,2003,1213.00
102,"Final Consumption of coking coal, 1000 tonnes",10301,Algeria,thousand tonnes,2004,1276.00
102,"Final Consumption of coking coal, 1000 tonnes",10301,Algeria,thousand tonnes,2005,1120.00
102,"Final Consumption of coking coal, 1000 tonnes",10301,Algeria,thousand tonnes,2006,1074.00
102,"Final Consumption of coking coal, 1000 tonnes",10301,Algeria,thousand tonnes,2007,1237.00
102,"Final Consumption of coking coal, 1000 tonnes",10301,Algeria,thousand tonnes,2008,1236.00
102,"Final Consumption of coking coal, 1000 tonnes",10301,Algeria,thousand tonnes,2009,685.00
102,"Final Consumption of coking coal, 1000 tonnes",10301,Algeria,thousand tonnes,2010,434.00
102,"Final Consumption of coking coal, 1000 tonnes",10301,Algeria,thousand tonnes,2011,501.00
102,"Final Consumption of coking coal, 1000 tonnes",10302,Egypt,thousand tonnes,2000,887.00
102,"Final Consumption of coking coal, 1000 tonnes",10302,Egypt,thousand tonnes,2001,839.00
102,"Final Consumption of coking coal, 1000 tonnes",10302,Egypt,thousand tonnes,2002,1409.00
102,"Final Consumption of coking coal, 1000 tonnes",10302,Egypt,thousand tonnes,2003,1540.00
102,"Final Consumption of coking coal, 1000 tonnes",10302,Egypt,thousand tonnes,2004,397.00
102,"Final Consumption of coking coal, 1000 tonnes",10302,Egypt,thousand tonnes,2005,1478.00
102,"Final Consumption of coking coal, 1000 tonnes",10302,Egypt,thousand tonnes,2006,1425.00
102,"Final Consumption of coking coal, 1000 tonnes",10302,Egypt,thousand tonnes,2007,1421.00
102,"Final Consumption of coking coal, 1000 tonnes",10302,Egypt,thousand tonnes,2008,1390.00
102,"Final Consumption of coking coal, 1000 tonnes",10302,Egypt,thousand tonnes,2009,1366.00
102,"Final Consumption of coking coal, 1000 tonnes",10302,Egypt,thousand tonnes,2010,1001.00
102,"Final Consumption of coking coal, 1000 tonnes",10302,Egypt,thousand tonnes,2011,1194.00
102,"Final Consumption of coking coal, 1000 tonnes",10304,Morocco,thousand tonnes,2000,801.00
102,"Final Consumption of coking coal, 1000 tonnes",10304,Morocco,thousand tonnes,2001,930.00
102,"Final Consumption of coking coal, 1000 tonnes",10304,Morocco,thousand tonnes,2002,942.00
102,"Final Consumption of coking coal, 1000 tonnes",10304,Morocco,thousand tonnes,2003,519.00
102,"Final Consumption of coking coal, 1000 tonnes",10304,Morocco,thousand tonnes,2004,777.00
102,"Final Consumption of coking coal, 1000 tonnes",10304,Morocco,thousand tonnes,2005,912.00
102,"Final Consumption of coking coal, 1000 tonnes",10304,Morocco,thousand tonnes,2006,5430.00
102,"Final Consumption of coking coal, 1000 tonnes",10304,Morocco,thousand tonnes,2007,299.00
102,"Final Consumption of coking coal, 1000 tonnes",10304,Morocco,thousand tonnes,2008,60.00
102,"Final Consumption of coking coal, 1000 tonnes",10304,Morocco,thousand tonnes,2009,23.00
102,"Final Consumption of coking coal, 1000 tonnes",10304,Morocco,thousand tonnes,2010,24.00
102,"Final Consumption of coking coal, 1000 tonnes",10304,Morocco,thousand tonnes,2011,22.00
102,"Final Consumption of coking coal, 1000 tonnes",10306,Tunisia,thousand tonnes,2000,129.00
102,"Final Consumption of coking coal, 1000 tonnes",10306,Tunisia,thousand tonnes,2001,118.00
102,"Final Consumption of coking coal, 1000 tonnes",10306,Tunisia,thousand tonnes,2002,100.00
102,"Final Consumption of coking coal, 1000 tonnes",10306,Tunisia,thousand tonnes,2003,29.00
102,"Final Consumption of coking coal, 1000 tonnes",10401,Botswana,thousand tonnes,2000,310.00
102,"Final Consumption of coking coal, 1000 tonnes",10401,Botswana,thousand tonnes,2001,1052.00
102,"Final Consumption of coking coal, 1000 tonnes",10401,Botswana,thousand tonnes,2002,1078.00
102,"Final Consumption of coking coal, 1000 tonnes",10401,Botswana,thousand tonnes,2003,241.00
102,"Final Consumption of coking coal, 1000 tonnes",10401,Botswana,thousand tonnes,2004,201.00
102,"Final Consumption of coking coal, 1000 tonnes",10401,Botswana,thousand tonnes,2005,220.00
102,"Final Consumption of coking coal, 1000 tonnes",10401,Botswana,thousand tonnes,2006,220.00
102,"Final Consumption of coking coal, 1000 tonnes",10401,Botswana,thousand tonnes,2007,406.00
102,"Final Consumption of coking coal, 1000 tonnes",10401,Botswana,thousand tonnes,2008,325.00
102,"Final Consumption of coking coal, 1000 tonnes",10401,Botswana,thousand tonnes,2009,313.00
102,"Final Consumption of coking coal, 1000 tonnes",10401,Botswana,thousand tonnes,2010,650.00
102,"Final Consumption of coking coal, 1000 tonnes",10401,Botswana,thousand tonnes,2011,514.00
102,"Final Consumption of coking coal, 1000 tonnes",10404,Madagascar,thousand tonnes,2000,11.00
102,"Final Consumption of coking coal, 1000 tonnes",10404,Madagascar,thousand tonnes,2001,11.00
102,"Final Consumption of coking coal, 1000 tonnes",10404,Madagascar,thousand tonnes,2002,11.00
102,"Final Consumption of coking coal, 1000 tonnes",10404,Madagascar,thousand tonnes,2003,2.00
102,"Final Consumption of coking coal, 1000 tonnes",10404,Madagascar,thousand tonnes,2004,12.00
102,"Final Consumption of coking coal, 1000 tonnes",10404,Madagascar,thousand tonnes,2005,11.00
102,"Final Consumption of coking coal, 1000 tonnes",10404,Madagascar,thousand tonnes,2006,11.00
102,"Final Consumption of coking coal, 1000 tonnes",10404,Madagascar,thousand tonnes,2007,11.00
102,"Final Consumption of coking coal, 1000 tonnes",10404,Madagascar,thousand tonnes,2008,11.00
102,"Final Consumption of coking coal, 1000 tonnes",10404,Madagascar,thousand tonnes,2009,11.00
102,"Final Consumption of coking coal, 1000 tonnes",10404,Madagascar,thousand tonnes,2010,11.00
102,"Final Consumption of coking coal, 1000 tonnes",10404,Madagascar,thousand tonnes,2011,15.00
102,"Final Consumption of coking coal, 1000 tonnes",10405,Malawi,thousand tonnes,2000,94.00
102,"Final Consumption of coking coal, 1000 tonnes",10405,Malawi,thousand tonnes,2001,93.00
102,"Final Consumption of coking coal, 1000 tonnes",10405,Malawi,thousand tonnes,2002,98.00
102,"Final Consumption of coking coal, 1000 tonnes",10405,Malawi,thousand tonnes,2003,74.00
102,"Final Consumption of coking coal, 1000 tonnes",10405,Malawi,thousand tonnes,2004,79.00
102,"Final Consumption of coking coal, 1000 tonnes",10405,Malawi,thousand tonnes,2005,83.00
102,"Final Consumption of coking coal, 1000 tonnes",10405,Malawi,thousand tonnes,2006,66.00
102,"Final Consumption of coking coal, 1000 tonnes",10405,Malawi,thousand tonnes,2007,72.00
102,"Final Consumption of coking coal, 1000 tonnes",10405,Malawi,thousand tonnes,2008,133.00
102,"Final Consumption of coking coal, 1000 tonnes",10405,Malawi,thousand tonnes,2009,72.00
102,"Final Consumption of coking coal, 1000 tonnes",10405,Malawi,thousand tonnes,2010,72.00
102,"Final Consumption of coking coal, 1000 tonnes",10405,Malawi,thousand tonnes,2011,50.00
102,"Final Consumption of coking coal, 1000 tonnes",10406,Mauritius,thousand tonnes,2000,28.00
102,"Final Consumption of coking coal, 1000 tonnes",10406,Mauritius,thousand tonnes,2001,38.30
102,"Final Consumption of coking coal, 1000 tonnes",10406,Mauritius,thousand tonnes,2002,34.40
102,"Final Consumption of coking coal, 1000 tonnes",10406,Mauritius,thousand tonnes,2003,31.90
102,"Final Consumption of coking coal, 1000 tonnes",10406,Mauritius,thousand tonnes,2004,36.60
102,"Final Consumption of coking coal, 1000 tonnes",10406,Mauritius,thousand tonnes,2005,41.80
102,"Final Consumption of coking coal, 1000 tonnes",10406,Mauritius,thousand tonnes,2006,48.50
102,"Final Consumption of coking coal, 1000 tonnes",10406,Mauritius,thousand tonnes,2007,57.30
102,"Final Consumption of coking coal, 1000 tonnes",10406,Mauritius,thousand tonnes,2008,65.20
102,"Final Consumption of coking coal, 1000 tonnes",10406,Mauritius,thousand tonnes,2009,59.60
102,"Final Consumption of coking coal, 1000 tonnes",10406,Mauritius,thousand tonnes,2010,24.80
102,"Final Consumption of coking coal, 1000 tonnes",10406,Mauritius,thousand tonnes,2011,24.09
102,"Final Consumption of coking coal, 1000 tonnes",10407,Mozambique,thousand tonnes,2000,6.00
102,"Final Consumption of coking coal, 1000 tonnes",10407,Mozambique,thousand tonnes,2001,11.00
102,"Final Consumption of coking coal, 1000 tonnes",10407,Mozambique,thousand tonnes,2002,8.00
102,"Final Consumption of coking coal, 1000 tonnes",10407,Mozambique,thousand tonnes,2007,9.00
102,"Final Consumption of coking coal, 1000 tonnes",10407,Mozambique,thousand tonnes,2008,5.00
102,"Final Consumption of coking coal, 1000 tonnes",10407,Mozambique,thousand tonnes,2009,5.00
102,"Final Consumption of coking coal, 1000 tonnes",10407,Mozambique,thousand tonnes,2010,10.00
102,"Final Consumption of coking coal, 1000 tonnes",10407,Mozambique,thousand tonnes,2011,21.87
102,"Final Consumption of coking coal, 1000 tonnes",10408,Namibia,thousand tonnes,2000,3.00
